[H]O[H]
[H][O-]
[H][H]
[H][C]([H])[H]
O=O
[H]C([H])=C([H])[H]
[H]O[O-]
[H]C([H])([H])[H]
[H][C]([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])[H]
[H]
[H]C([H])=O
[H]O[C]([H])[H]
[H][C]([H])C([H])([H])C([H])([H])[H]
[Cl]
[H]OO[H]
[H]C1([H])C([H])([H])C1([H])[H]
[Cl-].[H+]
[H]N([H])[H]
[H]C#C[H]
[H]N=O
[H]OC([H])([H])[H]
[H][C]=C([H])[H]
[C-]#[O+]
[H]C(=C([H])C([H])([H])[H])C([H])([H])[H]
[H][C]=O
[H][C]
[H]C([H])=C([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C1([H])OC1([H])[H]
[H][O]
[H]OOO[H]
[H][C][H]
[H]O[O]
O=C=O
[H]OC([H])([H])C([H])([H])[H]
O=[N+][O-]
[H][C]([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
[H][N][H]
[H]C([H])=C=O
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C#CC([H])([H])[H]
[H][C]1C([H])([H])C1([H])[H]
[Br]
[O]
[H][C]C([H])([H])[H]
[Br-].[H+]
[H]C1=C([H])C([H])([H])C1([H])[H]
[H]C([H])=C([H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]OC([H])([H])C([H])([H])C([H])([H])[H]
[H]S[H]
[H][C-]
[H]OO[C]([H])[H]
[H]N([H])N([H])[H]
[H]C([H])=C([H])[O]
[I]
[H]C([H])([H])[C](C([H])([H])[H])C([H])([H])[H]
[H][C](C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H]C1([H])OOC1([H])[H]
[H]C([H])=C=C([H])[H]
[H]C([H])([H])O[O]
[H][C](C([H])([H])[H])C([H])([H])[H]
[H]O[C]([H])C([H])([H])[H]
N#N
[C]
[H]OOC([H])([H])[H]
[H]C1([H])C([H])([H])C([H])([H])C1([H])[H]
[H]C([H])([H])[C](C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])[C]
[H]OC([H])=O
[H]C(=O)C([H])([H])[H]
[H][C]([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H][C]=C([H])C([H])([H])[H]
[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
F[C](F)F
[H]C([H])([H])C([H])([H])C([H])([H])[O]
[H]OC([H])=C([H])[H]
[H]C#N
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[O]
[H][H-]
[H]C([H])([H])Cl
[H]C#[C]
[O]Cl
[H]ON=O
[H]C1([H])OC([H])([H])C1([H])[H]
[H+].[I-]
[H]N([H])C([H])([H])C([H])([H])N([H])[H]
[H]C([H])=C([H])C#CC([H])=C([H])[H]
[H][C]([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H][S]
[H]C([H])([H])C1([H])OC1([H])[H]
[H]C([H])([H])[O]
[H]C([H])([H])C([H])([H])[O]
[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
[H]OOC([H])([H])C([H])([H])C([H])([H])[H]
ClCl
[H][C]([H])OC([H])([H])[H]
[H][N]
[H]N=N[H]
[H]C(=O)C([H])([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H]OOC([H])([H])C([H])([H])[H]
[H]OC([H])([H])[C]([H])[H]
[N-]=[N+]=O
[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])Cl
[H]C(F)(F)F
[H]C1=C([H])C([H])([H])C([H])([H])C1([H])[H]
[H]ON([H])[H]
[H]C#CC([H])=C([H])[H]
[H][C]1C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
[H]N([H])C([H])([H])C([H])([H])[H]
[H][C](C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
[F-].[H+]
[H]C1=C([H])C1([H])[H]
[H]OOC([H])=O
[H][C]1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
[H]C#CC([H])([H])C([H])([H])[H]
[H][C]1C([H])([H])C([H])([H])C1([H])[H]
[N+][O-]
O=S
[H]OO[O]
[H]OOC([H])=C([H])[H]
[H][C]([H])C([H])=C([H])[H]
[H]C([H])([H])[C]C([H])([H])C([H])([H])[H]
[H][C]([H])C([H])(C([H])([H])[H])C([H])([H])[H]
