cas_number,chemical_formula,hill_sorted_formula,preferred_name,aliases,iupac_name,common_name,userid,dtstamp,inchi,class
92988379,C8H17NO,C8H17NO,C2H5OCH=CHN(C2H5)2,"Vinylamine, 2-ethoxy-N,N-diethyl- (7CI)","Ethenamine, 2-ethoxy-N,N-diethyl-",C2H5OCH=CHN(C2H5)2,"{""Vadim Knyazev""}","{""2013-09-03 14:03:46.49634""}","",""
2644215,C8H17NO2,C8H17NO2,(C2H5)2NCH2COOC2H5,"Ethyl (N,N-diethylamino)acetate; Ethyl (diethylamino)acetate; Ethyl N,N-diethylglycinate; N,N-Diethylglycine ethyl ester","Glycine, N,N-diethyl-, ethyl ester",(C2H5)2NCH2COOC2H5,"{""Vadim Knyazev""}","{""2013-09-03 14:15:08.134338""}","",""
-1001022,CH3CH2C(OH)CH3,C4H9O,CH3CH2C(&middot;)(OH)CH3,"","",CH3CH2C(&middot;)(OH)CH3,"{""Vadim Knyazev""}","{""2013-09-03 15:23:36.611801""}","",""
-1001023,CH3CHCH(OH)CH3,C4H9O,CH3CH(&middot;)CH(OH)CH3,"","",CH3CH(&middot;)CH(OH)CH3,"{""Vadim Knyazev""}","{""2013-09-03 15:27:43.16321""}","",""
-1001024,(CH3)2CHC(OH)CH3,C5H11O,(CH3)2CHC(&middot;)(OH)CH3,"","",(CH3)2CHC(&middot;)(OH)CH3,"{""Vadim Knyazev""}","{""2013-09-03 15:35:37.472403""}","",""
-1001025,(CH3)2CC(OH)(CH3)2,C6H13O,(CH3)2C(&middot;)C(OH)(CH3)2,"","",(CH3)2C(&middot;)C(OH)(CH3)2,"{""Vadim Knyazev""}","{""2013-09-03 15:39:52.666923""}","",""
-1001026,CF3CHCH2OH,C3H4F3O,CF3CH(OH)CH2&middot;,"","",CF3CH(OH)CH2&middot;,"{""Vadim Knyazev""}","{""2013-09-03 15:52:44.17718""}","",""
-1001027,CF3CHCH2OH,C3H4F3O,CF3CH(&middot;)CH2OH,"","",CF3CH(&middot;)CH2OH,"{""Vadim Knyazev""}","{""2013-09-03 15:52:54.42426""}","",""
-1001028,CF3CClCH2OH,C3H3ClF3O,CF3CCl(OH)CH2&middot;,"","",CF3CCl(OH)CH2&middot;,"{""Vadim Knyazev""}","{""2013-09-03 15:56:05.451235""}","",""
-1001029,CF3CClCH2OH,C3H3ClF3O,CF3CCl(&middot;)CH2OH,"","",CF3CCl(&middot;)CH2OH,"{""Vadim Knyazev""}","{""2013-09-03 15:56:15.651284""}","",""
