cas_number,chemical_formula,hill_sorted_formula,preferred_name,aliases,iupac_name,common_name,userid,dtstamp,inchi,class
-1219055,C6H11O2,C6H11O2,CH3C(O)CH(O&middot;)C3H7,"","",CH3C(O)CH(O&middot;)C3H7,"{""Jeff Manion""}","{""2005-12-19 18:18:51""}",,
-1219056,C6H11O2,C6H11O2,CH3CH2C(O)CH(O&middot;)C2H5,"","",CH3CH2C(O)CH(O&middot;)C2H5,"{""Jeff Manion""}","{""2005-12-19 18:19:34""}",,
76392499,Al(CH3),CH3Al,Al(CH3),Monomethyl aluminum ,Methyl aluminum,"","{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1219057,B,B,"B(^2P1/2,3/2) [Mix of states]",Mix of spin orbit states,"","B(^2P1/2,3/2) [Mix of states]","{""Jeff Manion""}","{""2005-12-19 21:37:59""}",,
107222,C2H2O2,C2H2O2,(CHO)2,"1,2-ethanedione, ethanedial","",glyoxal,"{""Jeff Manion""}","{""2005-12-20 21:40:00""}",,
-36320146,C8H14,C8H14,CH3C(CH3)2CH=CHCH=CH2,"5,5-dimethyl-1,3-hexadiene (mixture of E- and Z-isomers)5,5-dimethylhexa-1,3-diene (mixture of E- and Z-isomers)5,5-dimethyl-1,3-hexadiene",,,{NULL},"{""1999-01-01 12:00:00""}",,
78988,CH3C(O)CHO,C3H4O2,CH3C(O)CHO,"1,2-propanedione, Pyruvaldehyde",2-oxopropanal,methylglyoxal,"{""Jeff Manion""}","{""2005-12-20 22:17:24""}",,
-1222051,C6H5O2,C6H5O2,2-oxepinoxy,2-oxepinoxy radical,"",2-oxepinoxy,"{""Jeff Manion""}","{""2005-12-23 00:51:11""}",,
-32763705,C7H12,C7H12,(CH3)2CHCH=CHCH=CH2,"5-methylhexa-1,3-diene (mixture of E-and Z-isomers)5-methyl-1,3-hexadiene (mixture of E-and Z-isomers)5-methyl-1,3-hexadiene",,,{NULL},"{""1999-01-01 12:00:00""}",,
-1216052,C2H5OCl3Si,C2H5Cl3OSi,SiCl3(OCH2CH3),Cl3SiOCH2CH3,ethoxytrichlorosilane,SiCl3(OCH2CH3),"{""Jeff Manion""}","{""2005-12-16 15:47:50""}",,
-1216055,C2HY,C2HY,C2HY,"","",C2HY,"{""Jeff Manion""}","{""2005-12-16 17:05:52""}",,
65632077,SiCH2,CH2Si,SiCH2,Silicon methylene,Silicon methylene,Silylidene,"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1216054,"","","","","","","{""Jeff Manion""}","{""2005-12-16 17:36:25""}",,
-10158,CH2CO2,C2H2O2,CH3C(O)O(&middot),"","",CH3C(O)O(&middot),"{""W. Sean McGivern""}","{""2006-05-12 00:27:42.026159""}",,
63172087,CaO3,CaO3,CaO3,"",Calcium ozonide,"","{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
2450717,HCCCH2NH2,C3H5N,HCCCH2NH2,"3-aminoprop-1-yne, propargylamine",HCCCH2NH2,HCCCH2NH2,"{""Jeff Manion""}","{""2006-02-17 11:49:26""}",,
-521044,C4H7O3,C4H7O3,CH3C(O)OCH(O&middot;)CH3,"","",CH3C(O)OCH(O&middot;)CH3,"{""Jeff Manion""}","{""2005-12-18 15:09:19""}",,
43337537,CH2AlCH3,C2H5Al,CH2=Al(CH3),"",Methylmethylenealuminum,CH2=Al(CH3),"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1218051,C4H7O4,C4H7O4,C4H7O4 (peroxy from methyl vinyl ketone),unspecified peroxy radical from methyl vinyl ketone oxidation via MVK + OH + O2,"",C4H7O4 (peroxy from methyl vinyl ketone),"{""Jeff Manion""}","{""2005-12-18 19:09:03""}",,
-1218052,C4H7O4,C4H7O4,C4H7O4 (peroxy from methacrolein),unspecified peroxy radical from methacrolein oxidation via methacrolein + OH + O2,"",C4H7O4 (peroxy from methacrolein),"{""Jeff Manion""}","{""2005-12-18 19:09:46""}",,
33196655,Al2H2(CH3)4,C4H14Al2,Al2H2(CH3)4,DMAlH dimer; (CH3)2Al(H2)Al(CH3)2; di-<mu>-hydrotetramethyl dialuminum,Dimethylaluminum hydride dimer,[AlH(CH3)2]2,"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1218053,CH3NO3,CH3NO3,CH3OONO,"Methyl Peroxynitrite,","",CH3OONO,"{""Jeff Manion""}","{""2005-12-18 22:58:08""}",,
13031759,"","",C2H5C(CH3)2O(&middot;),"","",C2H5C(CH3)2O(&middot;),"{""Jeff Manion""}","{""2005-12-19 16:04:23""}",,
471341,CaCO3,CCaO3,CaCO3,"","","","{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1219051,C5H11O,C5H11O,CH3CH(CH3)CH2CH2O(&middot;),3-methyl-1-butoxyl,3-methyl-1-butoxy,CH3CH(CH3)CH2CH2O(&middot;),"{""Jeff Manion""}","{""2005-12-19 16:21:43""}",,
64273047,C4H7O2,C4H7O2,CH3C(O)CH(O&middot;)CH3,"","",CH3C(O)CH(O&middot;)CH3,"{""Jeff Manion""}","{""2005-12-19 17:08:36""}",,
546930,MgCO3,CMgO3,MgCO3,"","","","{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1219052,C5H9O2,C5H9O2,CH3CH(O)CH(O&middot;)CH2CH3,"","",CH3C(O)CH(O&middot;)CH2CH3,"{""Jeff Manion""}","{""2005-12-19 17:15:21""}",,
-1219053,C5H9O2,C5H9O2,C2H5C(O)CH(O&middot;)CH3,"","",C2H5C(O)CH(O&middot;)CH3,"{""Jeff Manion""}","{""2005-12-19 17:18:28""}",,
558372,(CH3)3CCH=CH2,C6H12,(CH3)3CCH=CH2,neohexene;,"3,3-dimethyl-1-butene",neohexene,"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-12060412,C7H15O,C7H15O,(CH3)2C(OH)CH2CH2CH(&middot;)CH3,"5-methyl-5-hydroxyhex-2-yl radical, 2-methyl-2-hydroxyhex-5-yl radical",5-methyl-5-hydroxyhex-2-yl radical,(CH3)2C(OH)CH2CH2CH(&middot;)CH3,"{""Jeff Manion""}","{""2005-12-12 17:25:05""}",,
14457659,AlH2,H2Al,AlH2,"",Aluminum dihyride,AlH2,"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
13967221,AlH,HAl,AlH,Aluminum hydride,Aluminum monohydride,AlH,"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
865372,AlC2H7,C2H7Al,AlH(CH3)2,DMAlH,Dimethylaluminum hydride,AlH(CH3)2,"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
7784216,AlH3,H3Al,AlH3,Aluminum trihydride; Alane; Aluminu hydride,Aluminum hydride,AlH3,"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
1305620,Ca(OH)2,H2CaO2,Ca(OH)2,"","",Calcium hydroxide,"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
6728263,C6H10O,C6H10O,CH3CH2CH2CHCHCHO,trans-2-Hexenal,"",CH3CH2CH2CHCHCHO,"{""Vadim Knyazev""}","{""2005-09-26 19:10:28""}",,
-1214051,C3H7O2,C3H7O2,CH3CH(&middot;)CH2OOH,"","",CH3CH(&middot;)CH2OOH,"{""Jeff Manion""}","{""2005-12-14 23:42:33""}",,
1305799,CaO2,CaO2,CaO2,"","",Calcium peroxide,"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
1003174,C6H12O,C6H12O,"2,2-dimethyltetrahydrofuran","furan, tetrahydro-2,2-dimethyl","","2,2-dimethyltetrahydrofuran","{""Jeff Manion""}","{""2005-12-15 00:54:03""}",,
-1215051,C5H9O,C5H9O,CH3CH2CH(&middot;)C(O)CH3,"","",CH3CH2CH(&middot;)C(O)CH3,"{""Jeff Manion""}","{""2005-12-15 22:27:21""}",,
1309428,Mg(OH)2,H2MgO2,Mg(OH)2,"","","","{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-9999725,C3H8MoO,C3H8MoO,MoO(CH3)2(CH2),"","",MoO(CH3)2(CH2),"{""Anatoly Tereza""}","{""2008-10-23 16:19:12.938378""}","",""
3122074,C3H5O,C3H5O,CH3C(O)CH2(&middot;),acetonyl radical,1-methylvinoxy,CH3C(O)CH2(&middot;),"{""Jeff Manion""}","{""2005-12-15 23:05:59""}",,
-1000079,CH3CH(OH)CH2CHCH,C5H9O,CH3CH(OH)CH2CH=CH(&middot;),"","",CH3CH(OH)CH2CH=CH(&middot;),"{""Jeff Manion""}","{""2005-12-15 23:08:31""}",,
2858517,C(O)NH2,CH2NO,C(O)NH2,"",Aminoformyl radical,"","{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1215053,C5H9O,C5H9O,(CH3)2CHC(O)CH2(&middot;),"","",(CH3)2CHC(O)CH2(&middot;),"{""Jeff Manion""}","{""2005-12-15 23:10:17""}",,
-2057,"","",CH3CH2CH2C(O)CH2(&middot),"","",CH3CH2CH2C(O)CH2(&middot),"{""Jeff Manion""}","{""2005-12-15 23:11:05""}",,
-97531,CHF2CF2O,C2HF4O,CHF2CF2O,"","","","{""Rhoda D. Levin""}","{""1999-01-01 12:00:00""}",,
-512063,CF3CF2CF2CF2C(O)OH,C5HF9O2,CF3CF2CF2CF2C(O)OH,perfluoropentanoic acid,"","","{""W. Sean McGivern""}","{""2006-05-12 01:10:58.222257""}",,
2597435,CH3O,CH3O,(&middot;)CH2OH,"",hydroxymethyl,(&middot;)CH2OH,"{""Jeff Manion""}","{""2005-12-16 10:03:01""}",,
-9283,CH2BrOOCH2Br,C2H4Br2O2,CH2BrOOCH2Br,"","","","{""Rhoda D. Levin""}","{""1999-01-01 12:00:00""}",,
-1216051,C3H3Cl2,C3H3Cl2,CH2C(Cl)CHCl,"1,2-dichloroallyl, 1,2-dichloropropenyl","",CH2C(Cl)CHCl,"{""Jeff Manion""}","{""2005-12-16 13:59:38""}",,
5781533,C3H3O3Cl,C3H3ClO3,ClC(O)C(O)OCH3,"methyl oxalyl chloride, methyl chlorooxoacetate, methyl chloroglyoxylate","",ClC(O)C(O)OCH3,"{""Jeff Manion""}","{""2005-12-16 14:31:50""}",,
-6950,CF2ClCH2OH,C2H3ClF2O,CF2ClCH2OH,"","","","{""Rhoda D. Levin""}","{""1999-01-01 12:00:00""}",,
-1216053,CH3Cl3OSi,CH3Cl3OSi,SiCl3OCH3,"",trichloromethoxysilane,SiCl3OCH3,"{""Jeff Manion""}","{""2005-12-16 15:32:54""}",,
-24442,CH3CD2O,C2H3D2O,CH3CD2O,"","","","{""Dean Atkinson""}","{""2005-09-25 12:35:44""}",,
-9991010,Ni(N2O),N2NiO,Ni(N2O),"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-1000117,CH2CH2OOH,C2H5O2,(&middot;)CH2CH2OOH,"","",(&middot;)CH2CH2OOH,"{""Vadim Knyazev""}","{""2005-09-26 12:20:02""}",,
-1000118,HOOCH2CH2OO,C2H5O4,HOOCH2CH2OO&middot;,"","",HOOCH2CH2OO&middot;,"{""Vadim Knyazev""}","{""2005-09-26 12:21:21""}",,
-9991008,Fe2(CO)8(C2Cl4),C10Cl4Fe2O8,Fe2(CO)8(C2Cl4),"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-1000119,OCH2CH2OO,C2H4O3,(&middot;)OCH2CH2OO&middot;,"","",(&middot;)OCH2CH2OO&middot;,"{""Vadim Knyazev""}","{""2005-09-26 12:28:47""}",,
-1000120,HOOCH2C(O)H,C2H4O3,HOOCH2C(O)H,"","",HOOCH2C(O)H,"{""Vadim Knyazev""}","{""2005-09-26 12:33:33""}",,
-9991007,ClFe(CO)4(C2Cl3),C6Cl4FeO4,ClFe(CO)4(C2Cl3),"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-1000121,H2CCHOOH,C2H4O2,H2C=CHOOH,"","",H2C=CHOOH,"{""Vadim Knyazev""}","{""2005-09-26 12:38:24""}",,
3315422,CHCCHCH3,C4H5,CHCCH(&middot;)CH3,"","",CHCCH(&middot;)CH3,"{""Vadim Knyazev""}","{""2005-09-26 13:24:19""}",,
-9991006,Fe(CO)4(C2Cl4),C6Cl4FeO4,Fe(CO)4(C2Cl4),"",,,{NULL},"{""1999-01-01 12:00:00""}",,
82252888,CH3CCCH2,C4H5,CH3CCCH2&middot;,"","",CH3CCCH2&middot;,"{""Vadim Knyazev""}","{""2005-09-26 13:25:06""}",,
-1000122,CHCCH2CH2,C4H5,CHCCH2CH2&middot;,"","",CHCCH2CH2&middot;,"{""Vadim Knyazev""}","{""2005-09-26 13:26:38""}",,
-9991005,Fe(CO)3(C2Cl4)2,C7Cl8FeO3,Fe(CO)3(C2Cl4)2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-9991004,Fe(CO)3(C2Cl4),C5Cl4FeO3,Fe(CO)3(C2Cl4),"",,,{NULL},"{""1999-01-01 12:00:00""}",,
74997,CH3CCH,C3H4,CH3CCH,"","",propyne,"{""Vadim Knyazev""}","{""2005-09-26 13:35:43""}",,
-9991003,CrSO2,CrO2S,CrSO2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
924436,CH3CH2CH(CH3)ONO,C4H9NO2,CH3CH2CH(CH3)ONO,"sec-Butyl nitrite; Nitrous acid, 1-methylpropyl ester; Nitrous acid, sec-butyl ester; 2-butyl nitrite;2-butylnitrite","","","{""Jeff Hudgens""}","{""1999-01-01 12:00:00""}",,
7446095,SO2,O2S,SO2,"","",Sulfur dioxide,"{""Jeff Hudgens""}","{""1999-01-01 12:00:00""}",,
1605727,CCl2,CCl2,CCl2 (X 1A1),CCl2 (X); CCl2 ground state ;,dichlorocarbene,CCl2 (X 1A1),"{""Jeff Hudgens""}","{""1999-01-01 12:00:00""}",,
2229063,CH3CHOCH2CH3,C4H9O,2-C4H9O,2-butoxyl; ,"",2-C4H9O,"{""Jeff Hudgens""}","{""1999-01-01 12:00:00""}",,
-9991024,Na,Na,Na(^2P),"","",Na(^2P),"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
3889756,CF,CF,CF,"",Fluoromethylidyne,CF,"{""Jeff Hudgens""}","{""1999-01-01 12:00:00""}",,
-26438,HC(O)OCH2CH2OCH3,C4H8O3,methoxy ethylformate,"","",methoxy ethylformate,"{""Dean Atkinson""}","{""2005-11-11 14:08:59""}",,
2602428,"",CClO,ClCO,"","",Carbonyl chloride radical,"{""Jeff Hudgens""}","{""1999-01-01 12:00:00""}",,
123739,C4H6O,C4H6O,CH3CH=CHCHO,Crotonaldehyde,"",CH3CH=CHCHO,"{""Vadim Knyazev""}","{""2005-09-26 19:05:38""}",,
1576870,C5H8O,C5H8O,CH3CH2CHCHCHO,trans-2-pentenal,"",CH3CH2CHCHCHO,"{""Vadim Knyazev""}","{""2005-09-26 19:08:59""}",,
-9991037,Fe(CO)4(CH2=CHC(CH3)3),C10H12FeO4,Fe(CO)4(neohexene),Tetracarbonyl(neohexene)iron,"Tetracarbonyl(3,3-dimethyl-1-butene)iron ",Fe(CO)4(neohexene),"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1000104,C3H7CF(OC2H5)CF(CF3)2,C9H12F8O,C3H7CF(OC2H5)CF(CF3)2,HFE-7500,"",C3H7CF(OC2H5)CF(CF3)2,"{""Vadim Knyazev""}","{""2005-09-23 13:35:09""}",,
-1000105,C3H7CF(OC(O)H)CF(CF3)2,C8H8F8O2,C3H7CF(OC(O)H)CF(CF3)2,"","",C3H7CF(OC(O)H)CF(CF3)2,"{""Vadim Knyazev""}","{""2005-09-23 13:36:05""}",,
-9991036,Fe2(CO)8(CH2=CHC(CH3)3),C14H12Fe2O8,Fe2(CO)8(neohexene),Octacarbonyl(neohexene)diiron; Fe2(CO)8[CH2=CH-C(CH3)3],"Octacarbonyl(3,3-dimethyl-1-butene)diiron",Fe2(CO)8(neohexene),"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1000106,C3H7CF(OC(O))CF(CF3)2,C8H7F8O2,C3H7CF(OC(O)(&middot;))CF(CF3)2,"","",C3H7CF(OC(O)(&middot;))CF(CF3)2,"{""Vadim Knyazev""}","{""2005-09-23 13:50:37""}",,
-1000055,C4H7O,C4H7O,cyclobutoxy radical,"",cyclobutoxy radical,"","{""Vadim Knyazev""}","{""2005-09-21 17:04:04""}",,
-1000107,C3H7CF(OC(O)CH3)CF(CF3)2,C9H10F8O2,C3H7CF(OC(O)CH3)CF(CF3)2,"","",C3H7CF(OC(O)CH3)CF(CF3)2,"{""Vadim Knyazev""}","{""2005-09-23 13:50:54""}",,
-9991035,Fe(CO)3(CH2=CHC(CH3)3)2,C15H24FeO3,Fe(CO)3(neohexene)2,Tricarbonyl-di(neohexene)iron; Fe(CO)3[CH2=CH-C(CH3)3]2,"Tricarbonyl-di(3,3-dimethyl-1-butene)iron ",Fe(CO)3(neohexene)2,"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1000108,C3H7CF(OC(O)CH2)CF(CF3)2,C9H9F8O2,C3H7CF(OC(O)CH2(&middot;))CF(CF3)2,"","",C3H7CF(OC(O)CH2(&middot;))CF(CF3)2,"{""Vadim Knyazev""}","{""2005-09-23 13:51:14""}",,
-1000109,C3H7CF(OCHOCH3)CF(CF3)2,C9H11F8O2,C3H7CF(OCHO(&middot;)CH3)CF(CF3)2,"","",C3H7CF(OCHO(&middot;)CH3)CF(CF3)2,"{""Vadim Knyazev""}","{""2005-09-23 14:01:24""}",,
-9991034,Fe(CO)3(CH2=CHC(CH3)3),C9H12FeO3,Fe(CO)3(neohexene),Tricarbonyl(neohexene); Fe(CO)3[CH2=CHC(CH3)3],"Tricarbonyl(3,3-dimethyl-1-butene)",Fe(CO)3(neohexene),"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1000110,CD3CH2CH2Br,C3H4D3Br,CD3CH2CH2Br,"","",CD3CH2CH2Br,"{""Vadim Knyazev""}","{""2005-09-23 16:17:58""}",,
-1000111,CD3CH2CD2Br,C3H2D5Br,CD3CH2CD2Br,"","",CD3CH2CD2Br,"{""Vadim Knyazev""}","{""2005-09-23 16:18:52""}",,
-9991033,YC3D2,C3D2Y,Y(C3D2),"",d2-Propadienylidene yttrium,Y(C3D2),"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1000112,CH3CD2CD2Br,C3H3D4Br,CH3CD2CD2Br,"","",CH3CD2CD2Br,"{""Vadim Knyazev""}","{""2005-09-23 16:20:00""}",,
-1000113,CD3CD2CD2Br,C3D7Br,CD3CD2CD2Br,"","",CD3CD2CD2Br,"{""Vadim Knyazev""}","{""2005-09-23 16:21:28""}",,
-9991032,YC3H2,C3H2Y,Y(C3H2),"",Propadienylidene yttrium,Y(C3H2),"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1000114,CD2CD2CD2Br,C3D6Br,CD2CD2CD2Br,"","",CD2CD2CD2Br,"{""Vadim Knyazev""}","{""2005-09-23 16:26:36""}",,
-1000115,CD3CDCD2Br,C3D6Br,CD3CDCD2Br,"","",CD3CDCD2Br,"{""Vadim Knyazev""}","{""2005-09-23 16:26:49""}",,
-9991031,Fe2N2(CO)8,C8Fe2N2O8,Fe2(CO)8(N2),"","",Fe2(CO)8(N2),"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1000116,CD3CD2CDBr,C3D6Br,CD3CD2CDBr,"","",CD3CD2CDBr,"{""Vadim Knyazev""}","{""2005-09-23 16:27:03""}",,
-1214058,C6H13O2,C6H13O2,(CH3)2C(&middot;)(CH2)3OOH,"2-methyl-5-hydroperoxypent-2-yl radical, 2-methyl-5-hydroperoxy-2-pentyl radical","",(CH3)2C(&middot;)(CH2)3OOH,"{""Jeff Manion""}","{""2005-12-15 00:48:08""}",,
-9991030,Fe(CO)3N4,C3FeN4O3,Fe(CO)3(N2)2,"","",Fe(CO)3(N2)2,"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
80568,C10H16,C10H16,alpha-pinene,"","",alpha-pinene,"{""Vadim Knyazev""}","{""2005-09-23 23:13:19""}",,
127913,C10H16,C10H16,beta-pinene,"","",beta-pinene,"{""Vadim Knyazev""}","{""2005-09-23 23:13:36""}",,
-9991026,SiH2CO,CH2OSi,SiH2CO,"","",Silaketene,"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1215052,C5H9O,C5H9O,CH3CH(&middot;)CH2C(O)CH3,"","",CH3CH(&middot;)CH2C(O)CH3,"{""Jeff Manion""}","{""2005-12-15 22:33:14""}",,
-1215055,C5H9O,C5H9O,CH3C(O)CH(CH3)CH2(&middot;),"","",CH3C(O)CH(CH3)CH2(&middot;),"{""Jeff Manion""}","{""2005-12-15 22:48:40""}",,
-5074041,F(CO)S,CFOS,F(CO)S,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-1000066,C10H9,C10H9,2-methylene indene,"","",2-methylene indene,"{""Vadim Knyazev""}","{""2005-09-21 17:34:04""}",,
-3122075,CH3CHOOCHO,C3H5O3,CH3CHOOCHO,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-3122073,CH3CHCHO,C3H5O,2-methylvinoxy radical,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-2025550,C3H7,C3H7,Propyl Radical,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-9991025,Na,Na,Na(^2S),"","",Na(^2S),"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1000083,CH3CH(OH)CHCHCH2,C5H9O,CH3CH(OH)CH=CH=CH2(&middot;),"","",CH3CH(OH)CH=CH=CH2(&middot;),"{""Jeff Manion""}","{""2005-12-15 23:08:07""}",,
-26437,CH3C(O)OCH2OC2H5,C5H10O3,ethoxy methylacetate,"","",ethoxy methylacetate,"{""Dean Atkinson""}","{""2005-11-11 14:03:02""}",,
-9991023,NaO,NaO,NaO(A^2SIGMA^+),"","",NaO(A^2SIGMA^+),"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
2568903,C9H20O2,C9H20O2,CH2(n-C4H9O)2,"Methane, dibutoxy-; Butylal; Dibutoxymethane; Dibutyl formal; Formaldehyde dibutyl acetal; Di-n-butoxymethane; Di-n-butyl formal; 1-(Butoxymethoxy)butane","",CH2(n-C4H9O)2,"{""Vadim Knyazev""}","{""2005-09-22 18:35:12""}",,
-1212053,C5H11O,C5H11O,&middot;CH2CH2CH2CH(OH)CH3,"",4-hydroxypentyl radical,&middot;CH2CH2CH2CH(OH)CH3,"{""Jeff Manion""}","{""2005-12-12 09:35:01""}",,
-9991022,OCH2NH2,CH4NO,OCH2NH2,"",Aminomethoxy radical,"","{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
505840,C7H16O2,C7H16O2,CH2(n-C3H7O)2,"Methane, dipropoxy-","",CH2(n-C3H7O)2,"{""Vadim Knyazev""}","{""2005-09-22 18:42:36""}",,
-1000098,"","",Decomposition Products,"","",Decomposition Products,"{""Vadim Knyazev""}","{""2005-09-23 12:11:03""}",,
-9991021,CH(OH)NH2,CH4NO,CH(OH)NH2,"",Amino(hydroxy)methyl radical,"","{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
4789213,C2D2O,C2D2O,CD2=C=O,deuterioketene,deuterioethenone,CD2=C=O,"{""Jeff Manion""}","{""2005-12-14 18:51:57""}",,
462511,C2H4F2O,C2H4F2O,CH2FOCH2F,Bis(fluoromethyl)ether,"",CH2FOCH2F,"{""Vadim Knyazev""}","{""2005-09-23 13:04:36""}",,
-922313,C5H7O2,C5H7O2,Pentadienylperoxy radical,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-1000099,CHFOCH2F,C2H3F2O,CHF(&middot;)OCH2F,"","",CHF(&middot;)OCH2F,"{""Vadim Knyazev""}","{""2005-09-23 13:05:48""}",,
-1000100,CHFOC(O)F,C2HF2O2,CHFOC(O)F,"","",CHFOC(O)F,"{""Vadim Knyazev""}","{""2005-09-23 13:10:11""}",,
-9991020,CH3CH(OH)O2,C2H5O3,CH3CH(OH)O2,1-peroxyethanol,1-hydroxyethylperoxy radical,CH3CH(OH)O2,"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1000101,CH2FOC(O)F,C2H2F2O2,CH2FOC(O)F,"","",CH2FOC(O)F,"{""Vadim Knyazev""}","{""2005-09-23 13:10:25""}",,
-1000102,CH2FOCHFO,C2H3F2O2,CH2FOCHFO,"","",CH2FOCHFO,"{""Vadim Knyazev""}","{""2005-09-23 13:16:54""}",,
-1000275,SiCH,CHSi,SiCH,"",Silcon methylidyne,Silylidyne,"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1000103,CH2FOC(O)F,C2H2F2O2,CH2FOC(O)F,"","",CH2FOC(O)F,"{""Vadim Knyazev""}","{""2005-09-23 13:17:06""}",,
-1000086,C5H10FO,C5H10FO,CH3CH(O(&middot;))CH2CH2CH2F,"","",CH3CH(O(&middot;))CH2CH2CH2F,"{""Vadim Knyazev""}","{""2005-09-22 15:07:05""}",,
234750711,Al2H2(CH3)4,C4H14Al2,[Al(CH3)3][AlH2(CH3)],TMAl-MMAlH dimer; (CH3)2Al(H)(CH3)AlH(CH3); Timethylaluminum-monomethylaluminum hydride dimer,<mu>-hydrohydro-<mu>-methyltrimethyl dialuminum,[Al(CH3)3][AlH2(CH3)],"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1000087,C5H10FO,C5H10FO,CH3CH(OH)CH2CH2CHF&middot;,"","",CH3CH(OH)CH2CH2CHF&middot;,"{""Vadim Knyazev""}","{""2005-09-22 15:07:21""}",,
-1000088,C5H10ClO,C5H10ClO,CH3CH(O(&middot;))CH2CH2CH2Cl,"","",CH3CH(O(&middot;))CH2CH2CH2Cl,"{""Vadim Knyazev""}","{""2005-09-22 15:07:40""}",,
356534991,YC2H2,C2H2Y,Y(C2H2),"",Ethyne yttrium,Y(C2H2),"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1000089,C5H10ClO,C5H10ClO,CH3CH(OH)CH2CH2CHCl&middot;,"","",CH3CH(OH)CH2CH2CHCl&middot;,"{""Vadim Knyazev""}","{""2005-09-22 15:07:54""}",,
-1000090,C5H10ClO,C5H10ClO,CH3CH(O(&middot;))CH2CHClCH3,"","",CH3CH(O(&middot;))CH2CHClCH3,"{""Vadim Knyazev""}","{""2005-09-22 15:12:23""}",,
356535007,YC2D2,C2D2Y,Y(C2D2),"",d2-Ethyne yttrium,Y(C2D2),"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1000091,C5H10ClO,C5H10ClO,CH3CH(OH)CH2CHClCH2&middot;,"","",CH3CH(OH)CH2CHClCH2&middot;,"{""Vadim Knyazev""}","{""2005-09-22 15:12:34""}",,
-1000092,C5H10ClO,C5H10ClO,CH3CH(O(&middot;))CHClCH2CH3,"","",CH3CH(O(&middot;))CHClCH2CH3,"{""Vadim Knyazev""}","{""2005-09-22 15:12:46""}",,
356535018,YC2D4,C2D4Y,Y(C2D4),"",d4-Ethene yttrium,Y(C2D4),"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1000093,C5H10ClO,C5H10ClO,CH3CH(OH)CHClCH2CH2&middot;,"","",CH3CH(OH)CHClCH2CH2&middot;,"{""Vadim Knyazev""}","{""2005-09-22 15:13:00""}",,
-1000094,C5H8Cl,C5H8Cl,CH2ClC(CH3)=CHCH2&middot;,"","",CH2ClC(CH3)=CHCH2&middot;,"{""Vadim Knyazev""}","{""2005-09-22 17:59:07""}",,
356535029,YC3H4,C3H4Y,Y(C3H4),"",1-Propyneyttrium,Y(C3H4),"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
