cas_number
10059
10151
10902
10946
10957
10991
11803
12760
34413
46004
50000
50022
50033
50066
50113
50124
50135
50146
50180
50191
50215
50226
50237
50271
50282
50293
50306
50317
50328
50339
50351
50362
50373
50431
50475
50486
50497
50500
50522
50533
50555
50668
50691
50704
50715
50782
50793
50817
50840
50851
50895
50919
50997
51036
51058
51069
51127
51172
51183
51194
51207
51218
51263
51285
51343
51354
51365
51434
51445
51456
51467
51525
51558
51570
51592
51649
51661
51672
51683
51718
51752
51796
51809
51832
51989
52017
52211
52313
52391
52437
52517
52528
52539
52675
52686
52788
52857
52868
52904
53032
53065
53167
53190
53394
53418
53429
53430
53601
53634
53703
53861
53952
53963
54046
54057
54115
54126
54159
54206
54320
54364
54422
54717
54853
54911
54922
54955
55185
55210
55221
55389
55436
55527
55630
55732
55801
55812
55914
55992
56042
56064
56122
56188
56235
56246
56257
56291
56337
56359
56360
56382
56406
56417
56451
56495
56531
56542
56553
56564
56724
56757
56815
56848
56859
56860
56871
56893
57001
57067
57103
57114
57125
57136
57147
57158
57249
57272
57410
57421
57432
57443
57476
57487
57501
57534
57556
57567
57578
57636
57658
57669
57670
57681
57716
57749
57830
57852
57874
57885
57910
57976
58004
58082
58140
58151
58184
58208
58220
58253
58275
58322
58377
58388
58399
58402
58468
58559
58560
58617
58639
58720
58731
58742
58855
58866
58899
58902
58935
58946
58957
58968
59052
59234
59267
59303
59314
59325
59392
59427
59461
59472
59483
59494
59507
59518
59529
59585
59632
59665
59676
59789
59870
59881
59892
59927
59961
59972
59983
60004
60015
60093
60117
60128
60151
60184
60231
60242
60275
60297
60322
60333
60344
60355
60491
60515
60560
60571
60800
60877
60899
60913
60924
60991
61007
61018
61121
61256
61289
61336
61494
61507
61518
61541
61563
61676
61687
61734
61803
61825
61905
62237
62260
62384
62442
62464
62475
62486
62500
62533
62544
62555
62566
62577
62679
62680
62737
62759
62760
62908
63003
63058
63127
63252
63423
63683
63741
63752
63843
63912
63989
63990
64040
64062
64108
64175
64186
64197
64200
64391
64551
64653
64675
64697
64755
64777
64857
64868
64959
65236
65452
65463
65496
65645
65714
65827
65850
65861
66228
66251
66273
66568
66717
66751
66762
66773
66977
66999
67209
67210
67367
67436
67458
67470
67481
67516
67527
67561
67629
67630
67641
67663
67685
67710
67721
67787
67970
68053
68111
68122
68199
68224
68235
68268
68359
68360
68417
68768
68882
68940
68951
69090
69238
69523
69658
69727
69794
69896
69910
69932
70075
70111
70235
70257
70291
70304
70348
70473
70495
70542
70553
70699
70702
71001
71238
71307
71330
71363
71410
71432
71443
71476
71501
71556
71636
71818
71910
72037
72140
72184
72195
72208
72333
72402
72435
72446
72480
72548
72559
72560
72639
72695
72800
73223
73245
73314
73325
73405
74113
74317
74793
74806
74828
74839
74840
74851
74862
74873
74884
74895
74908
74931
74942
74953
74964
74975
74986
74997
75003
75014
75025
75036
75047
75058
75070
75081
75092
75105
75116
75127
75138
75150
75161
75172
75183
75194
75218
75229
75241
75252
75263
75274
75285
75296
75309
75310
75332
75343
75354
75365
75376
75387
75398
75434
75445
75456
75467
75478
75503
75525
75547
75558
75569
75570
75581
75605
75616
75627
75638
75649
75650
75661
75683
75694
75718
75729
75730
75741
75752
75763
75774
75785
75796
75809
75810
75821
75832
75843
75854
75865
75876
75887
75898
75901
75912
75945
75967
75978
75989
75990
76006
76017
76028
76039
76040
76051
76062
76095
76119
76120
76131
76142
76153
76164
76175
76186
76197
76211
76222
76244
76255
76299
76324
76357
76368
76379
76380
76391
76415
76426
76437
76448
76471
76493
76506
76517
76573
76584
76619
76620
76653
76675
76686
76700
76711
76733
76744
76755
76766
